gene_id	bundle_id	chr	left	right	FPKM	FPKM_conf_lo	FPKM_conf_hi	status
NCU10129	18585	supercont10.1	1166	2603	5.73763	0.946959	10.5283	OK
NCU09901	18586	supercont10.1	3197	4838	20.976	11.8161	30.1359	OK
NCU11134	18588	supercont10.1	15929	16647	0	0	0	OK
NCU09908	18592	supercont10.1	43708	44551	0	0	0	OK
NCU09907	18591	supercont10.1	40949	42632	0	0	0	OK
NCU09904	18589	supercont10.1	17889	19368	9.1688	3.1128	15.2248	OK
NCU09910	18594	supercont10.1	49271	51866	10.9694	4.34536	17.5934	OK
NCU09906	18590	supercont10.1	35915	39245	14.5999	6.95793	22.2419	OK
NCU09911	18595	supercont10.1	53484	54489	114.271	92.8913	135.65	OK
NCU09909	18593	supercont10.1	45331	47865	28.7936	18.0616	39.5255	OK
NCU09914	18598	supercont10.1	62141	62950	2.7968	0	6.14153	OK
NCU09903	18587	supercont10.1	9603	13334	82.1823	64.0514	100.313	OK
NCU10501	18599	supercont10.1	91323	92593	0.874186	0	2.74414	OK
NCU09913	18597	supercont10.1	59147	60836	2.51129	0	5.6807	OK
NCU11429	18602	supercont10.1	102848	103781	4.49197	0.253119	8.73083	OK
NCU08050	18601	supercont10.1	100316	102134	1.57042	0	4.07675	OK
NCU09912	18596	supercont10.1	54908	57319	32.0677	20.742	43.3933	OK
NCU08051	18603	supercont10.1	103934	105890	13.4621	6.12394	20.8002	OK
NCU08052	18604	supercont10.1	109910	112060	10.3935	3.94572	16.8413	OK
NCU08049	18600	supercont10.1	93688	97794	5.61515	0.875887	10.3544	OK
NCU08053	18605	supercont10.1	112216	113288	274.366	241.238	307.494	OK
NCU08054	18606	supercont10.1	114127	117165	31.0676	19.92	42.2153	OK
NCU08059	18611	supercont10.1	133835	134464	0	0	0	OK
NCU08057	18609	supercont10.1	128683	129910	7.38582	1.95045	12.8212	OK
NCU08058	18610	supercont10.1	130427	132364	1.54705	0	4.03465	OK
NCU08060	18612	supercont10.1	135263	136873	3.60013	0	7.39493	OK
NCU08062	18613	supercont10.1	138002	139722	5.40239	0.753781	10.051	OK
NCU08055	18607	supercont10.1	117801	119338	342.315	305.312	379.319	OK
NCU08065	18616	supercont10.1	149979	151799	14.1597	6.63385	21.6856	OK
NCU08063	18614	supercont10.1	140467	143510	23.9594	14.1697	33.7491	OK
NCU10696	18618	supercont10.1	155788	156779	17.9928	9.50921	26.4764	OK
NCU08066	18617	supercont10.1	152473	154474	46.1696	32.58	59.7592	OK
NCU08068	18620	supercont10.1	162306	163492	11.1408	4.46523	17.8164	OK
NCU08070	18622	supercont10.1	170929	172912	16.2429	8.18241	24.3034	OK
NCU08067	18619	supercont10.1	159332	161058	64.3211	48.281	80.3612	OK
NCU08069	18621	supercont10.1	163962	166034	3.05846	0	6.55615	OK
NCU08064	18615	supercont10.1	144696	148886	4.36713	0.187594	8.54667	OK
NCU08071	18623	supercont10.1	173499	174822	44.0683	30.7915	57.3451	OK
NCU08056	18608	supercont10.1	123178	128314	15.1524	7.36717	22.9376	OK
NCU08074	18626	supercont10.1	181222	181975	0	0	0	OK
NCU08075	18627	supercont10.1	182427	185051	0	0	0	OK
NCU08080	18632	supercont10.1	195020	195335	0	0	0	OK
NCU08079	18631	supercont10.1	193143	194064	0	0	0	OK
NCU08078	18630	supercont10.1	190406	191138	0	0	0	OK
NCU11430	18633	supercont10.1	195780	196290	0	0	0	OK
NCU08081	18634	supercont10.1	198194	198497	0	0	0	OK
NCU08083	18635	supercont10.1	208394	209343	0	0	0	OK
NCU08086	18638	supercont10.1	216104	216521	0	0	0	OK
NCU08077	18629	supercont10.1	188530	189595	0	0	0	OK
NCU08084	18636	supercont10.1	210486	212487	0	0	0	OK
